数据集标识,风场名称,数据粒度,数据数量,所属数据集,Onshore/Offshore,位置（纬度，经度）,基座海拔,气候类型,气候特点,风机型号,参数性质,机组总数,风场额定功率_MW,额定功率计算式_MW,容量计算精度,参考机型数,叶轮直径_m,叶轮直径_规格数,叶轮直径_各规格机组数,叶片长_m,叶片长_规格数,叶片长_各规格机组数,轮毂高_m,轮毂高_规格数,轮毂高_各规格机组数
NREL_WTK_site9438_Mississippi-Simpson_class3_16MW_2007-2013,Mississippi-Simpson_class3,15 min,157997,NREL WTK,Onshore,"31.789505, -89.800232",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site96777_Offshore-NewEngland_offshore_16MW_2007-2013,Offshore-NewEngland_offshore,15 min,154127,NREL WTK,Offshore,"41.354832, -71.034302",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site97066_Offshore-Nantucket-MA_offshore_16MW_2007-2013,Offshore-Nantucket-MA_offshore,15 min,46919,NREL WTK,Offshore,"41.069138, -69.807617",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site97524_Michigan-Sanilac_class3_16MW_2007-2013,Michigan-Sanilac_class3,15 min,207317,NREL WTK,Onshore,"43.50803, -82.655518",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site98600_RhodeIsland-Kent_class3_16MW_2007-2013,RhodeIsland-Kent_class3,15 min,116408,NREL WTK,Onshore,"41.619774, -71.572418",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
Anholt,Anholt,30 min,111939,ENTSOE,Offshore,"56.627126, 11.249050",0 m (sea level),Temperate oceanic climate,"Frequent westerly and southwesterly winds shaped by North Atlantic weather systems and cyclonic activity. Mean wind speeds moderate to high, particularly during autumn and winter when storm systems are more active. Mild winters and cool summers with limited seasonal variation. Frequent precipitation spread relatively evenly across the year. Wind availability generally consistent with few calm periods.","Siemens Gamesa Renewable Energy, SWT 3.6-120",实际机组型号,111,399.6,111×3.6,按表中机组数,0,120,1,120 m: 111台,58.5,1,58.5 m: 111台,81.6,1,81.6 m: 111台
Belwind Phase 1,Belwind Phase 1,30 min,95519,ENTSOE,Offshore,"51.665950, 2.801160",0 m (sea level),Temperate oceanic climate,"Moderate to strong westerly winds, especially in autumn and winter, due to proximity to the North Sea and Atlantic systems. Mean wind speeds moderate compared to exposed coastal areas but still provide good wind availability. Mild temperatures year-round with cool summers and relatively mild winters. Precipitation fairly evenly distributed. Wind conditions moderately consistent with fewer calm periods than inland regions.",Vestas V90/3000; Alstom Haliade 150-6MW demonstrator,实际机组型号,56,171.0,55×3 + 1×6,按表中机组数,0,90; 150,2,90 m: 55台; 150 m: 1台,44; 73.5,2,44 m: 55台; 73.5 m: 1台,72; 100,2,72 m: 55台; 100 m: 1台
DK_KF_AB_GU,DK_KF_AB_GU,30 min,56496,ENTSOE,Offshore,"55.020900, 12.907400",0 m (sea level),Temperate oceanic climate,"Moderate to strong westerly winds driven by low-pressure systems from the North Atlantic, especially in winter. Mean wind speeds generally high with strongest winds during autumn and winter. Mild temperatures year-round with cool summers and relatively warm winters. Precipitation distributed evenly across the year with highest amounts in autumn and winter. Consistent winds and few calm periods contribute to high wind energy potential.",Siemens Gamesa SWT-8.4-167,实际机组型号,72,604.8,72×8.4,按表中机组数,0,167,1,167 m: 72台,81.5,1,81.5 m: 72台,107,1,107 m: 72台
Horns Rev A,Horns Rev A,30 min,111940,ENTSOE,Offshore,"55.485972, 7.839972",0 m (sea level),Temperate oceanic climate,"Moderate to high winds with frequent westerly winds driven by North Atlantic low-pressure systems. Mean wind speeds are generally high, particularly in autumn and winter when cyclonic systems are more active. Mild temperatures year-round with cool summers and mild winters support stable turbine operation. Precipitation evenly distributed. Wind availability is high and consistent, especially during winter when the North Sea influences weather patterns.",Vestas V80/2000,实际机组型号,80,160.0,80×2,按表中机组数,0,80,1,80 m: 80台,39,1,39 m: 80台,70,1,70 m: 80台
Horns Rev B,Horns Rev B,30 min,112036,ENTSOE,Offshore,"55.603273, 7.631800",0 m (sea level),Temperate oceanic climate,"Persistent westerly and southwesterly winds driven by North Atlantic low-pressure systems. Mean wind speeds moderate to high, particularly during autumn and winter when pressure gradients are strongest. Small seasonal temperature variation with mild winters and cool summers. Wind availability generally high with relatively few calm periods; storm systems can produce occasional strong gust events. Maritime setting supports stable large-scale wind regimes favorable for consistent wind energy generation.","Siemens Gamesa Renewable Energy, SWT 2.3-93",实际机组型号,91,209.3,91×2.3,按表中机组数,0,93,1,93 m: 91台,45,1,45 m: 91台,68,1,68 m: 91台
Horns Rev C,Horns Rev C,30 min,73399,ENTSOE,Offshore,"55.689200, 7.663500",0 m (sea level),Temperate oceanic climate,"Persistent westerly and southwesterly winds driven by frequent North Atlantic low-pressure systems. Mean wind speeds high by European standards, particularly in autumn and winter with strong pressure gradients. Calm periods relatively rare compared with inland continental regions. Modest seasonal temperature variation with cool summers and mild winters. Storm events can generate short-term high gusts, but overall wind regime is energetic and reliable.",Vestas V164-8.3,实际机组型号,49,406.7,49×8.3,按表中机组数,0,164,1,164 m: 49台,80,1,80 m: 49台,105,1,105 m: 49台
LARYO-1,LARYO-1,30 min,85521,ENTSOE,Offshore,"51.625972, 1.495972",0 m (sea level),Temperate maritime climate,"Sheltered yet energetic maritime climate, protected from the most extreme Atlantic swells by the UK landmass while still receiving consistent prevailing winds from the southwest. Average wind speeds robust, typically exceeding 9.3 m/s at hub height, with peak intensity during autumn and winter. Drier than the UK west coast but experiences frequent cloud cover and occasional sea fog (haar). Moderate temperatures year-round prevent sea ice formation and ensure high availability.",Siemens SWT-3.6-120,实际机组型号,175,630.0,175×3.6,按表中机组数,0,120,1,120 m: 175台,58.5,1,58.5 m: 175台,87,1,87 m: 175台
MINSW-1,MINSW-1,30 min,87535,ENTSOE,Onshore,"55.112250, -3.221803",265 m,Temperate oceanic climate,"Persistent westerly to southwesterly winds driven by North Atlantic low-pressure systems. Wind speeds moderate to high with peak energy availability in autumn and winter when pressure gradients intensify. Seasonal temperature variability limited, supporting stable air density conditions and relatively consistent annual wind production.",Siemens SWT-2.3-93,实际机组型号,16,36.8,16×2.3,按表中机组数,0,93,1,93 m: 16台,45,1,45 m: 16台,≈73.5,1,73.5 m: 16台
Roedsand 1,Roedsand 1,30 min,111940,ENTSOE,Offshore,"54.550000, 11.715000",0 m (sea level),Temperate oceanic climate,"Frequent maritime winds, mainly from the west and southwest, shaped by North Atlantic weather systems and Baltic circulation patterns. Mean wind speeds moderate to relatively high, particularly during autumn and winter. Cool summers and mild winters with limited seasonal temperature extremes. Wind availability generally steady, slightly lower than exposed North Sea sites. Surrounding sea moderates atmospheric stability.",Siemens SWT-2.3-82,实际机组型号,72,165.6,72×2.3,按表中机组数,0,82,1,82 m: 72台,40,1,40 m: 72台,69,1,69 m: 72台
Roedsand 2,Roedsand 2,30 min,112036,ENTSOE,Offshore,"54.558361, 11.530667",0 m (sea level),Temperate oceanic climate,"Consistent westerly winds with seasonal variations due to low-pressure systems from the North Atlantic. Mean wind speeds moderate to high, particularly during autumn and winter. Mild winters with cool summers and year-round precipitation generally evenly distributed. Lower temperature extremes provide stable conditions for wind turbines. Steady wind resource with few calm periods.",Siemens SWT-2.3-93,实际机组型号,90,207.0,90×2.3,按表中机组数,0,93,1,93 m: 90台,45,1,45 m: 90台,68.5,1,68.5 m: 90台
Thorntonbank - C-Power - Area SW,Thorntonbank - C-Power - Area SW,30 min,95519,ENTSOE,Offshore,"51.560000, 2.970000",0 m (sea level),Temperate oceanic climate,"Persistent westerly and southwesterly winds driven by North Atlantic low-pressure systems. Mean wind speeds moderate to relatively high, especially in autumn and winter when cyclonic activity intensifies. Calm periods infrequent compared to inland Belgium. Mild temperatures with limited seasonal extremes. Maritime exposure results in good wind consistency and relatively low atmospheric stability issues.",Senvion REpower 5M; Senvion 6.2M126,实际机组型号,30,178.05,6×5.075 + 24×6.15,按表中机组数,0,126,1,126 m: 30台,61.5,1,61.5 m: 30台,94,1,94 m: 6台; 未知尺寸: 24台
Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area NE,30 min,95496,ENTSOE,Offshore,"51.540000, 2.920000",0 m (sea level),Temperate oceanic climate,"Persistent westerly and southwesterly winds associated with North Atlantic low-pressure systems. Mean wind speeds moderate to high, particularly during autumn and winter when synoptic pressure gradients are strongest. Calm periods relatively rare compared to inland Belgium. Mild temperatures with limited seasonal extremes. Strong maritime influence results in high wind reliability and favorable conditions.",Senvion 6.2M126,实际机组型号,24,147.6,24×6.15,按表中机组数,0,126,1,126 m: 24台,61.5,1,61.5 m: 24台,,0,未知尺寸: 24台
UP_BDDSLDSRDI_1,UP_BDDSLDSRDI_1,30 min,118698,ENTSOE,Onshore,"40.674856, 9.254538",828 m,Mediterranean climate,"Moderate to strong winds, particularly from the northwest and west, influenced by marine systems from the Mediterranean Sea. Wind speeds moderate to high, especially in spring and autumn. Summers hot and dry with limited rainfall; winters mild and wetter. Precipitation mostly in winter; summers typically dry. Wind availability moderate to high in cooler months with calmer periods in summer.",Enercon E70/2000,实际机组型号,69,138.0,69×2,按表中机组数,0,71,1,71 m: 69台,,0,未知尺寸: 69台,,0,未知尺寸: 69台
WLNYW-1,WLNYW-1,30 min,85573,ENTSOE,Offshore,"53.810417, -4.907417",0 m (sea level),Temperate maritime climate,"Heavily influenced by the North Atlantic Oscillation resulting in frequent and strong prevailing winds from the southwest and west. Mean wind speeds exceptionally high, averaging over 9.3 m/s at hub height, with peak intensity and consistency during autumn and winter. Maritime environment ensures mild temperatures year-round, limiting thermal extremes and preventing significant icing. Precipitation and cloud cover frequent, driven by regular passage of Atlantic low-pressure systems.",Siemens SWT-3.6-107,实际机组型号,51,183.6,51×3.6,按表中机组数,0,107,1,107 m: 51台,52,1,52 m: 51台,83.5,1,83.5 m: 51台
BALDHWF1,BALDHWF1,5 min,105120,AEMO,Onshore,"-38.758977, 145.953660",71 m,Temperate oceanic climate,"Frequent and often strong westerly winds driven by the mid-latitude westerly belt (Roaring Forties) and passing frontal systems. Mean wind speeds moderate to high year-round, with particularly energetic conditions in winter and spring. Moderate temperature variability with cool summers and mild winters. Frontal passages can produce gusty conditions and rapid wind shifts. Wind availability is high and persistent.",Senvion MM92/2050,实际机组型号,52,106.6,52×2.05,按表中机组数,0,92.5,1,92.5 m: 52台,≈45.2,1,45.2 m: 52台,80,1,80 m: 52台
BLUFF1,BLUFF1,5 min,105120,AEMO,Onshore,"-40.798554, 144.714532",10 m,Temperate oceanic climate,"Exposed to the mid-latitude westerlies (Roaring Forties), producing frequent and often strong west to southwest winds. Mean wind speeds high by Australian standards, particularly during winter and spring when frontal systems are most active. Cloud cover and precipitation common. Temperature extremes limited with cool summers and mild winters. Wind availability persistent with relatively few calm periods.",Vestas V66-1.75,实际机组型号,37,64.75,37×1.75,按表中机组数,0,66,1,66 m: 37台,32,1,32 m: 37台,60,1,60 m: 37台
BOCORWF1,BOCORWF1,5 min,105120,AEMO,Onshore,"-36.579295, 149.103844",1032 m,Temperate climate,"Moderate winds with predominant westerly and southwesterly winds influenced by both the Southern Ocean and the Great Dividing Range. Mean wind speeds moderate compared to coastal regions but still provide steady wind. Summers warm, winters cool with mild seasonal variation. Precipitation moderate, evenly distributed across the year. Wind availability generally consistent.",GE 1.7-100; GE 1.6-100,实际机组型号,67,113.0,58×1.7 + 9×1.6,按表中机组数,0,100,1,100 m: 67台,48.7,1,48.7 m: 67台,80,1,80 m: 67台
CAPTL_WF,CAPTL_WF,5 min,105120,AEMO,Onshore,"-35.174143, 149.516180",886 m,Temperate climate,"Moderate westerly and southerly winds driven by the Southern Ocean and passing cold fronts. Wind speeds generally moderate to high, particularly in winter. Summers warm and dry, winters cool with occasional frosts. Precipitation moderate with slight concentration in spring and summer. Wind availability remains fairly consistent year-round.",Suzlon S88-2.1,实际机组型号,67,140.7,67×2.1,按表中机组数,0,88,1,88 m: 67台,≈43.2,1,43.2 m: 67台,80,1,80 m: 67台
CATHROCK,CATHROCK,5 min,105120,AEMO,Onshore,"-34.865044, 135.596685",133 m,Semi-arid climate,"Moderate winds, primarily from the west to southwest, influenced by southern oceanic weather systems. Mean wind speeds moderate, with higher wind speeds in winter due to strong low-pressure systems. Summers hot and dry, winters cooler with occasional rainfall concentrated in winter months. Wind availability moderate to good, with frequent calm periods during summer.",Vestas V80-2.0,实际机组型号,31,62.0,31×2,按表中机组数,0,80,1,80 m: 31台,39,1,39 m: 31台,60,1,60 m: 31台
CHALLHWF,CHALLHWF,5 min,105120,AEMO,Onshore,"-37.397461, 143.098786",425 m,Temperate climate,"Moderate winds, particularly from the west and southwest, influenced by both the Southern Ocean and local weather systems. Wind speeds moderate, generally higher during winter due to passing cold fronts. Summers warm and can occasionally be dry, winters cool. Precipitation moderate and fairly evenly distributed. Wind availability moderate with more frequent calm periods during summer.",NEG Micon NM64C-1.5,实际机组型号,35,52.5,35×1.5,按表中机组数,0,64,1,64 m: 35台,≈31.7,1,31.7 m: 35台,68,1,68 m: 35台
CLEMGPWF,CLEMGPWF,5 min,105120,AEMO,Onshore,"-33.509427, 138.114514",173 m,Semi-arid climate,"Moderate to light winds, typically from the west and southwest, with occasional strong gusts from passing low-pressure systems. Wind speeds generally lower compared to coastal areas with frequent calm periods, especially in summer. Summers hot and dry, winters mild and slightly wetter. Wind availability moderate with variability across seasons.",Suzlon S88-2.1,实际机组型号,27,56.7,27×2.1,按表中机组数,0,88,1,88 m: 27台,≈43.2,1,43.2 m: 27台,79,1,79 m: 27台
CNUNDAWF,CNUNDAWF,5 min,105120,AEMO,Onshore,"-37.809126, 140.418022",25 m,Semi-arid climate,"Moderate westerly and southwesterly winds influenced by the Southern Ocean and passing cold fronts. Mean wind speeds moderate, with stronger winds during winter and spring. Summers hot and dry with higher temperature variability, winters cool with more consistent rainfall. Wind availability moderate with lower wind speeds in summer due to high-pressure systems.",Vestas V80/2000,实际机组型号,23,46.0,23×2,按表中机组数,0,80,1,80 m: 23台,39,1,39 m: 23台,67,1,67 m: 23台
CULLRGWF,CULLRGWF,5 min,105120,AEMO,Onshore,"-34.805223, 149.400310",836 m,Temperate climate,"Moderate winds primarily from the west and southwest, with frequent cold fronts from the Southern Ocean. Wind speeds generally moderate to high, particularly in winter. Cool winters with occasional frosts, moderately warm summers. Precipitation moderate and evenly distributed with slight peak during winter. Wind availability consistent with fewer calm periods than more inland regions.",Senvion MM92/2050; Senvion MM82/2000; Senvion MM82/2050,实际机组型号,15,30.45,7×2.05 + 6×2 + 2×2.05,按表中机组数,0,82; 92.5,2,82 m: 8台; 92.5 m: 7台,40; ≈45.2,2,40 m: 8台; 45.2 m: 7台,80,1,80 m: 15台
GULLRWF1,GULLRWF1,5 min,105120,AEMO,Onshore,"-34.544150, 149.432464",964 m,Temperate climate,"Moderate westerly and southerly winds influenced by the Southern Ocean and passing low-pressure systems. Mean wind speeds moderate, with stronger winds in winter when cold fronts bring active weather. Summers warm, winters cool with occasional frost. Precipitation evenly distributed with slightly more rainfall during cooler months. Wind availability fairly consistent.",Goldwind GW109/2500; Goldwind GW82/1500,实际机组型号,73,165.5,56×2.5 + 17×1.5,按表中机组数,0,82.3; 109,2,82.3 m: 17台; 109 m: 56台,,0,未知尺寸: 73台,80; 85,2,80 m: 56台; 85 m: 17台
GUNNING1,GUNNING1,5 min,105120,AEMO,Onshore,"-34.686234, 149.381869",888 m,Temperate climate,"Moderate westerly and southwesterly winds influenced by cold fronts from the Southern Ocean. Wind speeds moderate, typically higher in winter due to stronger pressure gradients. Summers warm, winters cool with occasional frosts. Precipitation moderate throughout the year with slightly higher rainfall in winter. Wind availability moderate.",Acciona AW-1500/70,实际机组型号,31,46.5,31×1.5,按表中机组数,0,70,1,70 m: 31台,34,1,34 m: 31台,80,1,80 m: 31台
HALLWF1,HALLWF1,5 min,105120,AEMO,Onshore,"-33.315257, 138.707170",632 m,Semi-arid climate,"Light to moderate winds with westerly and northwesterly winds most common, influenced by high-pressure systems over the interior. Wind speeds generally low to moderate with frequent calm periods, particularly during summer. Summers hot and dry, winters cool and dry with minimal rainfall. Precipitation low with majority of rain in winter. Wind energy potential limited due to lower wind consistency.",Suzlon S88-2.1,实际机组型号,45,94.5,45×2.1,按表中机组数,0,88,1,88 m: 45台,≈43.2,1,43.2 m: 45台,80,1,80 m: 45台
SNOWTWN1,SNOWTWN1,5 min,105120,AEMO,Onshore,"-33.731722, 138.135194",120 m,Semi-arid climate,"Moderate prevailing winds mainly from the west and southwest associated with mid-latitude westerlies and passing frontal systems. Wind speeds generally increase during winter and spring when pressure gradients strengthen across southern Australia. Summers hot and dry with more persistent high-pressure systems, leading to lower wind frequency but occasional strong gusts during frontal passages.",Suzlon S88-2.1; Suzlon S95-2.1,实际机组型号,48,100.8,47×2.1 + 1×2.1,按表中机组数,0,88; 95,2,88 m: 47台; 95 m: 1台,≈43.2; 46.5,2,43.2 m: 47台; 46.5 m: 1台,80,1,80 m: 48台
STARHLWF,STARHLWF,5 min,105120,AEMO,Onshore,"-35.570333, 138.157528",210 m,Mediterranean climate,"Moderate to strong westerly and southwesterly winds driven by mid-latitude westerlies and Southern Ocean frontal systems. Wind speeds generally higher during winter and spring when frequent low-pressure systems increase pressure gradients. Summers warm and dry under subtropical high-pressure dominance, resulting in somewhat reduced but still regular coastal wind activity.",Neg Micon NM64C-1.5,实际机组型号,23,34.5,23×1.5,按表中机组数,0,64,1,64 m: 23台,≈31.7,1,31.7 m: 23台,68,1,68 m: 23台
WATERLWF,WATERLWF,5 min,105120,AEMO,Onshore,"-33.996472, 138.915194",430 m,Mediterranean climate,"Moderate prevailing winds mainly from the west and southwest associated with mid-latitude westerlies. Wind speeds generally stronger in winter and spring when frontal systems move across southern Australia. Summers hot and dry with stable high-pressure systems, leading to somewhat reduced wind frequency but occasional strong gusts during frontal transitions.",Vestas V90/3000; Vestas V117-3.3,实际机组型号,43,130.8,37×3 + 6×3.3,按表中机组数,0,90; 117,2,90 m: 37台; 117 m: 6台,44; 57.2,2,44 m: 37台; 57.2 m: 6台,80; 91.5,2,80 m: 37台; 91.5 m: 6台
NREL_WTK_site101275_SouthDakota-Deuel_class2_16MW_2007-2013,SouthDakota-Deuel_class2,15 min,170338,NREL WTK,Onshore,"44.608551, -96.719482",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site101582_Massachusetts-Berkshire_class3_16MW_2007-2013,Massachusetts-Berkshire_class3,15 min,90067,NREL WTK,Onshore,"42.229622, -73.151276",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site102811_NewYork-Albany_class2_16MW_2007-2013,NewYork-Albany_class2,15 min,194004,NREL WTK,Onshore,"42.562256, -74.174957",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site10444_NewMexico-Eddy_class1_16MW_2007-2013,NewMexico-Eddy_class1,15 min,188714,NREL WTK,Onshore,"32.113411, -104.768494",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site104714_Massachusetts-Plymouth_class3_2MW_2007-2013,Massachusetts-Plymouth_class3,15 min,116179,NREL WTK,Onshore,"41.997025, -70.78186",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site104932_SouthDakota-Butte_class1_14MW_2007-2013,SouthDakota-Butte_class1,15 min,144453,NREL WTK,Onshore,"44.742779, -103.076752",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site105082_SouthDakota-Butte_class1_12MW_2007-2013,SouthDakota-Butte_class1,15 min,204416,NREL WTK,Onshore,"44.759682, -103.105194",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site110192_Minnesota-Benton_class3_16MW_2007-2013,Minnesota-Benton_class3,15 min,245472,NREL WTK,Onshore,"45.783417, -93.876038",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
